target,family,feature,provenance,group1,group2,n_group1,n_group2,group1_count,group1_missing,group1_mean,group1_median,group1_min,group1_q1,group1_q3,group1_max,group1_std,group2_count,group2_missing,group2_mean,group2_median,group2_min,group2_q1,group2_q3,group2_max,group2_std,median_difference_group2_minus_group1,hedges_g,rank_biserial_group2_vs_group1,iqr_overlap_ratio,range_overlap_ratio
B,TEMPORAL_MARKET,seg_5_0_directional_price_change_pct,direction_sign_only,MIXED,STRONG_FAVORABLE,4,6,4,0,0.22197594785,0.24240044509999997,0.0428557454,0.1740695486,0.29030684435,0.3602471558,0.1332252749033452,6,0,0.24500070715000002,0.23675570845,0.050660037,0.095824772975,0.373399156875,0.4780380215,0.17626636986643493,-0.005644736649999982,0.12879035810266404,0.16666666666666674,0.4187608889438301,0.7113964327188278
B,TEMPORAL_MARKET,seg_5_0_high,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,63004.25,63000.05,59642.3,61081.4,64922.9,66374.6,2989.04424022128,6,0,70890.88333333335,71187.45,62300.0,64377.475,77440.85,79037.6,7813.834960227064,8187.399999999994,1.1056292049519554,0.5833333333333333,0.03334005727576433,0.21008182394703898
B,TEMPORAL_MARKET,seg_5_0_low,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,62782.65,62853.8,59302.8,60804.825,64831.625,66120.2,3057.9506454486777,6,0,70658.01666666666,70907.15,61952.8,64236.675,77156.65,78928.0,7836.438809667736,8053.349999999991,1.099065486574563,0.5833333333333333,0.03638431795839285,0.2123494282860809
B,TEMPORAL_MARKET,seg_5_0_open_interest_change,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,-32.897499999999994,-45.045,-246.68,-101.02250000000001,23.080000000000005,205.18,185.1028885737155,6,0,88.86666666666667,39.945,-72.31,-13.135000000000002,202.015,300.41,150.78930872799526,84.99000000000001,0.6685834738405132,0.5,0.11950666171678423,0.5072108793799923
B,TEMPORAL_MARKET,seg_5_0_price_change_pct,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,-0.20054807514999998,-0.24240044509999997,-0.3602471558,-0.29030684435,-0.1526416759,0.0428557454,0.17268669658214286,6,0,-0.003850743716666665,0.055047352849999995,-0.4780380215,-0.18872223907500002,0.168604981525,0.4083600988,0.32106456527945465,0.29744779795,0.6461111128827628,0.41666666666666674,0.0786219947725378,0.45476506771423486
B,TEMPORAL_MARKET,seg_5_0_price_close,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,62838.2,62901.25,59418.3,60884.175,64855.274999999994,66132.0,3012.4798123804894,6,0,70772.81666666667,71108.35,61998.5,64347.075,77275.09999999999,78997.7,7832.65357395989,8207.100000000006,1.1091971178280544,0.5833333333333333,0.031004961586975563,0.21111474304626296
B,TEMPORAL_MARKET,seg_5_0_price_open,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,62964.575000000004,62969.6,59548.0,61039.825,64894.35,66371.1,3021.123428323755,6,0,70773.71666666666,70910.8,62296.3,64252.45,77377.975,78957.7,7814.244898495736,7941.200000000004,1.0937608117571365,0.5833333333333333,0.03928841392691346,0.2099362689789128
B,TEMPORAL_MARKET,seg_5_0_rows_expected,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,6,0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,,0.0,1.0,1.0
B,TEMPORAL_MARKET,seg_5_0_rows_used,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,6,0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,,0.0,1.0,1.0
B,TEMPORAL_MARKET,seg_5_0_total_qty,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,2149.9145,1518.3854999999999,234.357,952.8435,2715.4565000000002,5328.53,2219.8519041183054,6,0,2454.076833333333,1540.5855000000001,585.335,782.4780000000001,2676.57825,7472.937,2611.8715878834028,22.200000000000273,0.1111284418775147,0.08333333333333326,0.8917506066415121,0.6552659499515098
B,TEMPORAL_MARKET,seg_60_15_delta,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,156.969,129.6885,35.1,105.80250000000001,180.85500000000002,333.399,125.7885160444572,6,0,-408.9873333333334,-68.068,-2167.633,-195.49425,-1.0835000000000008,66.57,867.7956468474974,-197.75650000000002,-0.7404596662469125,-0.9166666666666666,0.0,0.012582805817758428
B,TEMPORAL_MARKET,seg_60_15_delta_pct,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,0.062280241775,0.04331454875,0.0062794562,0.031797557075,0.07379723345,0.1562124134,0.06505604663621559,6,0,-0.023207027066666663,-0.014775053,-0.1219826207,-0.0562561754,0.025840580125000002,0.042994656,0.06329036785615609,-0.05808960175,-1.2072618579897745,-0.75,0.0,0.13197647441399818
B,TEMPORAL_MARKET,seg_60_15_directional_delta,direction_sign_only,MIXED,STRONG_FAVORABLE,4,6,4,0,-91.9655,-82.235,-333.399,-180.37725,6.176749999999998,130.007,193.3862347643527,6,0,-352.14799999999997,-65.9965,-2167.633,-69.67724999999999,-1.0835000000000008,237.088,897.2091141953474,16.238500000000002,-0.32679137150558657,0.08333333333333326,0.3676884440966154,0.19270676307147483
B,TEMPORAL_MARKET,seg_60_15_directional_delta_pct,direction_sign_only,MIXED,STRONG_FAVORABLE,4,6,4,0,0.015825964924999998,-0.02329152345,-0.0463255068,-0.041809069725,0.0343435112,0.1562124134,0.09523713738309735,6,0,-0.012972329833333336,-0.014775053,-0.1219826207,-0.033228106625,0.03010501075,0.0680128402,0.06670841311356017,0.00851647045,-0.33081050795707095,0.0,0.8316608131426899,0.4110006757306096
B,TEMPORAL_MARKET,seg_60_15_directional_price_change_pct,direction_sign_only,MIXED,STRONG_FAVORABLE,4,6,4,0,-0.026624365049999998,0.0448015729,-0.3127026275,-0.0723496811,0.09052688895,0.1166020215,0.1960449566663002,6,0,0.07355498758333334,0.14982498160000002,-0.5333054085,-0.0552613567,0.31790986755,0.4246706774,0.35515659765921304,0.10502340870000001,0.2963162038218507,0.16666666666666674,0.3735674018850172,0.4481371250480398
B,TEMPORAL_MARKET,seg_60_15_high,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,63343.45,63136.850000000006,60313.0,61474.3,65006.0,66787.1,2850.8048600351467,6,0,70840.43333333333,70674.15,62874.6,64085.7,77378.85,79316.4,7830.602864828905,7537.299999999988,1.0527654217254057,0.5,0.05786394459447156,0.20588421019396574
B,TEMPORAL_MARKET,seg_60_15_low,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,62984.075,62931.05,59749.0,61095.399999999994,64819.725,66325.2,2914.398489540051,6,0,70532.33333333334,70299.85,62577.2,63981.899999999994,77145.5,78713.8,7733.417163884714,7368.800000000003,1.0704691037764325,0.5,0.05220060934199812,0.19762929216232175
