target_ts,Timestamp,minutes_from_target,Close,VWAP,BuyQty,SellQty,OpenInterest,FundingRate,LiqBuyQty,LiqSellQty,IsSynthetic,delta_1m,vol_1m,price_minus_vwap
2026-04-05 00:46:00,2026-04-05 00:42:00,-4,,,0.180190,0.646420,,,,,,-0.466230,,
2026-04-05 00:46:00,2026-04-05 00:43:00,-3,,,0.773210,0.384840,,,,,,0.388370,,
2026-04-05 00:46:00,2026-04-05 00:44:00,-2,,,0.217270,0.438750,,,,,,-0.221480,,
2026-04-05 00:46:00,2026-04-05 00:45:00,-1,,,58.183350,1.322700,,,,,,56.860650,,
2026-04-05 00:46:00,2026-04-05 00:46:00,0,,,1.113240,50.808430,,,,,,-49.695190,,
2026-04-05 00:46:00,2026-04-05 00:47:00,1,,,0.419090,0.534690,,,,,,-0.115600,,
2026-04-05 00:46:00,2026-04-05 00:48:00,2,,,1.544610,1.331160,,,,,,0.213450,,
2026-04-05 00:46:00,2026-04-05 00:49:00,3,,,0.213110,0.196610,,,,,,0.016500,,
2026-04-05 00:46:00,2026-04-05 00:50:00,4,,,1.206220,3.437370,,,,,,-2.231150,,
2026-04-05 00:46:00,2026-04-05 00:51:00,5,,,0.243580,0.341530,,,,,,-0.097950,,
2026-04-05 00:46:00,2026-04-05 00:52:00,6,,,0.380590,0.503880,,,,,,-0.123290,,
2026-04-05 00:46:00,2026-04-05 00:53:00,7,,,1.135840,0.491080,,,,,,0.644760,,
2026-04-05 00:46:00,2026-04-05 00:54:00,8,,,0.267980,0.107970,,,,,,0.160010,,
2026-04-05 00:46:00,2026-04-05 00:55:00,9,,,0.509820,0.267260,,,,,,0.242560,,
2026-04-05 00:46:00,2026-04-05 00:56:00,10,,,0.261660,0.891440,,,,,,-0.629780,,
2026-04-05 00:46:00,2026-04-05 00:57:00,11,,,0.232140,0.273330,,,,,,-0.041190,,
2026-04-05 00:46:00,2026-04-05 00:58:00,12,,,0.503300,0.352630,,,,,,0.150670,,
2026-04-05 00:46:00,2026-04-05 00:59:00,13,,,0.626890,0.295170,,,,,,0.331720,,
2026-04-05 00:46:00,2026-04-05 01:00:00,14,,,0.345560,0.153150,,,,,,0.192410,,
2026-04-05 00:46:00,2026-04-05 01:01:00,15,,,0.241710,0.247220,,,,,,-0.005510,,
2026-04-05 00:46:00,2026-04-05 01:02:00,16,,,0.251780,0.629710,,,,,,-0.377930,,
2026-04-05 00:46:00,2026-04-05 01:03:00,17,,,0.344650,0.922130,,,,,,-0.577480,,
2026-04-05 00:46:00,2026-04-05 01:04:00,18,,,3.669140,1.621820,,,,,,2.047320,,
2026-04-05 00:46:00,2026-04-05 01:05:00,19,,,12.995690,0.972250,,,,,,12.023440,,
2026-04-05 00:46:00,2026-04-05 01:06:00,20,,,0.370380,1.319630,,,,,,-0.949250,,
2026-04-05 00:46:00,2026-04-05 01:07:00,21,,,0.403110,0.751900,,,,,,-0.348790,,
