ts,day,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,matched_open_interest,matched_funding_rate,matched_liq_buy_qty,matched_liq_sell_qty,source_file,terminal_decision_present,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,dist_vwap,abs_dist_vwap,price_vs_vwap_side
2026-03-31 16:04:00,2026-03-31,DELTA_MIN,short,,-35.15,71.65,0.49,67346.832821,67187.0,67600.0,2026-03-31 16:04:00,91519.64,-2.643e-05,0.0,0.0,2026-03-31.jsonl,True,198.0739999999969,929.3150000000032,715.2699999999995,-54.09999999999127,94.5,159.8328210000036,159.8328210000036,above
2026-03-31 16:04:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-35.15,71.65,0.49,67346.832821,67187.0,,2026-03-31 16:04:00,91519.64,-2.643e-05,0.0,0.0,2026-03-31.jsonl,True,198.0739999999969,929.3150000000032,715.2699999999995,-54.09999999999127,94.5,159.8328210000036,159.8328210000036,above
2026-03-31 16:06:00,2026-03-31,DELTA_MIN,short,,-37.05,43.83,0.845,67209.199636,67186.0,67600.0,2026-03-31 16:06:00,91561.59,-2.633e-05,0.0,0.0,2026-03-31.jsonl,True,238.38799999999674,889.7450000000031,669.3559999999998,-115.39999999999418,9.400000000008731,23.19963600000483,23.19963600000483,above
2026-03-31 16:06:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,short,vwap_side,-37.05,43.83,0.845,67209.199636,67186.0,,2026-03-31 16:06:00,91561.59,-2.633e-05,0.0,0.0,2026-03-31.jsonl,True,238.38799999999674,889.7450000000031,669.3559999999998,-115.39999999999418,9.400000000008731,23.19963600000483,23.19963600000483,above
2026-03-31 16:19:00,2026-03-31,DELTA_MAX,long,,50.58,87.8,0.576,67669.336362,67186.0,67600.0,2026-03-31 16:19:00,91545.42,-2.699e-05,0.0,0.0,2026-03-31.jsonl,True,417.9089999999951,748.5130000000017,1009.3649999999989,183.6999999999971,-116.09999999999127,483.3363620000018,483.3363620000018,above
2026-03-31 16:19:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,50.58,87.8,0.576,67669.336362,67186.0,,2026-03-31 16:19:00,91545.42,-2.699e-05,0.0,0.0,2026-03-31.jsonl,True,417.9089999999951,748.5130000000017,1009.3649999999989,183.6999999999971,-116.09999999999127,483.3363620000018,483.3363620000018,above
2026-03-31 16:33:00,2026-03-31,DELTA_MIN,short,,-40.66,50.33,0.808,67595.950217,67167.0,67600.0,2026-03-31 16:33:00,91528.23,-2.907e-05,0.0,0.0,2026-03-31.jsonl,True,772.080999999997,769.7820000000033,1121.5830000000005,85.19999999999709,108.0,428.95021700000507,428.95021700000507,above
2026-03-31 16:33:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-40.66,50.33,0.808,67595.950217,67167.0,,2026-03-31 16:33:00,91528.23,-2.907e-05,0.0,0.0,2026-03-31.jsonl,True,772.080999999997,769.7820000000033,1121.5830000000005,85.19999999999709,108.0,428.95021700000507,428.95021700000507,above
2026-03-31 16:52:00,2026-03-31,DELTA_MIN,short,,-53.34,126.83,0.421,66657.726988,67153.0,67600.0,2026-03-31 16:52:00,91077.64,-2.787e-05,0.0,0.0,2026-03-31.jsonl,True,2429.740999999998,2390.9980000000046,2207.348000000002,662.7000000000116,662.6000000000058,-495.2730120000051,495.2730120000051,below
2026-03-31 16:52:00,2026-03-31,CANDIDATE_GATE_REJECT,short,imb_band,,,0.421,,,,2026-03-31 16:52:00,91077.64,-2.787e-05,0.0,0.0,2026-03-31.jsonl,True,2429.740999999998,2390.9980000000046,2207.348000000002,662.7000000000116,662.6000000000058,,,at_or_unknown
2026-03-31 19:12:00,2026-03-31,DELTA_MAX,long,,72.38,123.77,0.585,68034.926567,67130.0,67600.0,2026-03-31 19:12:00,89184.43,-1.84e-05,0.017,0.0,2026-03-31.jsonl,True,7379.046000000011,6166.656000000012,560.4280000000126,211.10000000000582,279.0,904.9265670000023,904.9265670000023,above
2026-03-31 19:12:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,72.38,123.77,0.585,68034.926567,67130.0,,2026-03-31 19:12:00,89184.43,-1.84e-05,0.017,0.0,2026-03-31.jsonl,True,7379.046000000011,6166.656000000012,560.4280000000126,211.10000000000582,279.0,904.9265670000023,904.9265670000023,above
2026-03-31 19:15:00,2026-03-31,DELTA_MAX,long,,76.44,206.65,0.37,68371.945562,67151.0,67600.0,2026-03-31 19:15:00,89191.28,-1.804e-05,0.0,0.0,2026-03-31.jsonl,True,7412.576000000013,6188.746000000014,628.3000000000138,137.89999999999418,212.8000000000029,1220.9455619999935,1220.9455619999935,above
2026-03-31 19:15:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,long,vwap_distance,76.44,206.65,0.37,68371.945562,67151.0,,2026-03-31 19:15:00,89191.28,-1.804e-05,0.0,0.0,2026-03-31.jsonl,True,7412.576000000013,6188.746000000014,628.3000000000138,137.89999999999418,212.8000000000029,1220.9455619999935,1220.9455619999935,above
2026-03-31 22:08:00,2026-03-31,DELTA_MAX,long,,79.09,112.39,0.704,68054.680442,67253.0,67600.0,2026-03-31 22:08:00,88902.72,-2.441e-05,0.0,0.0,2026-03-31.jsonl,True,6762.732000000004,587.0579999999918,39.17799999999443,-208.3000000000029,78.19999999999709,801.6804419999971,801.6804419999971,above
2026-03-31 22:08:00,2026-03-31,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,79.09,112.39,0.704,68054.680442,67253.0,,2026-03-31 22:08:00,88902.72,-2.441e-05,0.0,0.0,2026-03-31.jsonl,True,6762.732000000004,587.0579999999918,39.17799999999443,-208.3000000000029,78.19999999999709,801.6804419999971,801.6804419999971,above
