source_date,ts,delta,abs_delta,price,rolling_max,rolling_min,threshold_abs_delta,is_owner_max,is_owner_min,Timestamp,Open,High,Low,Close,Volume,AggTrades,BuyQty,SellQty,VWAP,OpenInterest,FundingRate,LiqBuyQty,LiqSellQty,IsSynthetic
2026-03-30,2026-03-30 02:44:00+00:00,124.61500000000001,124.61500000000001,66849.0,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 02:44:00,66781.0,66875.1,66773.0,66849.0,303.579,2415,214.097,89.482,66824.99,92754.76,-4.6e-06,0.022,0.0,0
2026-03-30,2026-03-30 02:45:00+00:00,377.972,377.972,67021.0,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 02:45:00,66848.9,67021.0,66848.5,67021.0,1041.47,5036,709.721,331.749,66957.79,92824.74,-2.86e-06,11.488,0.0,0
2026-03-30,2026-03-30 02:46:00+00:00,796.6640000000001,796.6640000000001,67195.3,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 02:46:00,67020.9,67240.0,66974.0,67195.3,2318.694,11853,1557.679,761.015,67098.36,92781.02,-2.86e-06,3.976,0.0,0
2026-03-30,2026-03-30 02:47:00+00:00,358.3889999999999,358.3889999999999,67191.4,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 02:47:00,67194.7,67487.7,67157.3,67191.4,3379.271,20181,1868.83,1510.441,67327.69,92227.74,-1.46e-06,5.635,0.0,0
2026-03-30,2026-03-30 02:48:00+00:00,147.08499999999998,147.08499999999998,67242.2,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 02:48:00,67192.5,67336.5,67159.8,67242.2,821.175,6172,484.13,337.045,67224.39,91986.52,3.05e-06,0.0,0.46,0
2026-03-30,2026-03-30 02:53:00+00:00,145.12,145.12,67133.0,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 02:53:00,67111.9,67187.9,67111.9,67133.0,263.228,1897,204.174,59.054,67155.66,92297.7,4e-06,0.0,0.0,0
2026-03-30,2026-03-30 02:57:00+00:00,-113.687,113.687,67060.9,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 02:57:00,67103.5,67103.5,67035.6,67060.9,200.027,1761,43.17,156.857,67062.02,92349.55,2.79e-06,0.0,0.433,0
2026-03-30,2026-03-30 03:03:00+00:00,-167.654,167.654,67010.3,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 03:03:00,67088.3,67088.3,67010.2,67010.3,293.086,2319,62.716,230.37,67048.61,92388.62,3.47e-06,0.0,0.0,0
2026-03-30,2026-03-30 03:25:00+00:00,114.12700000000001,114.12700000000001,67237.9,796.6640000000001,-179.59299999999996,108.0975,False,False,2026-03-30 03:25:00,67138.1,67264.5,67138.1,67237.9,270.053,3512,192.09,77.963,67223.74,92351.04,2.89e-06,2.352,0.0,0
2026-03-30,2026-03-30 04:07:00+00:00,139.04600000000002,139.04600000000002,67338.8,796.6640000000001,-201.194,108.0975,False,False,2026-03-30 04:07:00,67233.6,67366.6,67233.6,67338.8,439.332,3808,289.189,150.143,67314.68,92483.61,4.18e-06,0.779,0.0,0
2026-03-30,2026-03-30 04:29:00+00:00,440.88500000000005,440.88500000000005,67571.6,796.6640000000001,-201.194,108.0975,False,False,2026-03-30 04:29:00,67428.9,67596.9,67428.9,67571.6,793.823,5284,617.354,176.469,67536.85,92430.64,1.35e-06,0.642,0.0,0
2026-03-30,2026-03-30 04:38:00+00:00,206.552,206.552,67416.9,796.6640000000001,-201.194,108.0975,False,False,2026-03-30 04:38:00,67384.6,67417.0,67378.9,67416.9,281.622,835,244.087,37.535,67397.91,92340.86,-4.8e-07,0.0,0.0,0
2026-03-30,2026-03-30 05:01:00+00:00,135.79199999999997,135.79199999999997,67641.8,796.6640000000001,-201.194,108.0975,False,False,2026-03-30 05:01:00,67579.1,67688.0,67579.1,67641.8,574.378,4310,355.085,219.293,67642.62,92417.27,9.7e-07,4.542,0.0,0
2026-03-30,2026-03-30 05:38:00+00:00,-110.234,110.234,67555.6,796.6640000000001,-201.194,108.0975,False,False,2026-03-30 05:38:00,67600.1,67600.1,67521.7,67555.6,319.802,2273,104.784,215.018,67552.38,92325.74,-1.75e-06,0.0,0.0,0
2026-03-30,2026-03-30 06:18:00+00:00,-170.01300000000003,170.01300000000003,67346.0,440.88500000000005,-201.194,108.0975,False,False,2026-03-30 06:18:00,67395.9,67396.1,67329.6,67346.0,349.125,2307,89.556,259.569,67356.88,92388.22,-4.97e-06,0.0,0.094,0
2026-03-30,2026-03-30 06:47:00+00:00,114.37100000000001,114.37100000000001,67376.6,440.88500000000005,-170.01300000000003,108.0975,False,False,2026-03-30 06:47:00,67327.6,67383.2,67327.6,67376.6,179.475,1337,146.923,32.552,67355.29,92318.15,1e-08,0.0,0.0,0
2026-03-30,2026-03-30 07:56:00+00:00,127.78199999999998,127.78199999999998,67508.8,200.062,-170.01300000000003,108.0975,False,False,2026-03-30 07:56:00,67448.7,67528.4,67448.7,67508.8,226.558,1251,177.17,49.388,67494.59,92267.01,4.17e-06,0.05,0.0,0
2026-03-30,2026-03-30 08:12:00+00:00,-146.38099999999997,146.38099999999997,67750.3,408.471,-170.01300000000003,108.0975,False,False,2026-03-30 08:12:00,67785.1,67798.6,67742.6,67750.3,223.055,1248,38.337,184.718,67760.17,91433.12,6.84e-06,0.0,0.0,0
2026-03-30,2026-03-30 08:17:00+00:00,-136.147,136.147,67802.7,408.471,-199.25199999999998,108.0975,False,False,2026-03-30 08:17:00,67870.9,67875.1,67802.7,67802.7,204.267,2256,34.06,170.207,67842.88,91480.69,8.01e-06,0.0,0.0,0
2026-03-30,2026-03-30 08:20:00+00:00,247.12099999999998,247.12099999999998,67833.4,408.471,-199.25199999999998,108.0975,False,False,2026-03-30 08:20:00,67723.9,67844.5,67716.0,67833.4,442.841,2672,344.981,97.86,67795.08,91271.73,7.55e-06,0.0,0.028,0
2026-03-30,2026-03-30 08:39:00+00:00,232.529,232.529,67811.2,408.471,-199.25199999999998,108.0975,False,False,2026-03-30 08:39:00,67755.0,67920.0,67755.0,67811.2,545.163,5171,388.846,156.317,67860.34,91016.94,5.41e-06,1.243,0.0,0
2026-03-30,2026-03-30 10:20:00+00:00,138.502,138.502,67447.8,408.471,-199.25199999999998,108.0975,False,False,2026-03-30 10:20:00,67437.9,67450.0,67414.7,67447.8,263.228,799,200.865,62.363,67436.48,91508.46,7.93e-06,0.0,0.0,0
2026-03-30,2026-03-30 10:39:00+00:00,-136.997,136.997,67339.7,408.471,-199.25199999999998,108.0975,False,False,2026-03-30 10:39:00,67372.5,67381.4,67333.3,67339.7,225.103,919,44.053,181.05,67348.86,91481.87,8.1e-06,0.0,0.184,0
2026-03-30,2026-03-30 11:03:00+00:00,127.68799999999999,127.68799999999999,67527.4,408.471,-199.25199999999998,108.0975,False,False,2026-03-30 11:03:00,67500.1,67527.5,67500.0,67527.4,162.32,573,145.004,17.316,67512.84,91586.22,1.466e-05,0.138,0.0,0
2026-03-30,2026-03-30 11:36:00+00:00,-122.018,122.018,67571.1,380.65199999999993,-136.997,108.0975,False,False,2026-03-30 11:36:00,67566.2,67582.3,67550.0,67571.1,229.102,2365,53.542,175.56,67562.61,91675.92,2.068e-05,0.0,0.0,0
2026-03-30,2026-03-30 12:39:00+00:00,-131.637,131.637,67843.2,380.65199999999993,-136.997,108.0975,False,False,2026-03-30 12:39:00,67881.3,67929.8,67839.3,67843.2,234.229,1441,51.296,182.933,67895.14,91782.26,2.344e-05,0.002,0.0,0
2026-03-30,2026-03-30 13:06:00+00:00,129.257,129.257,67885.8,380.65199999999993,-136.997,108.0975,False,False,2026-03-30 13:06:00,67870.7,67932.9,67870.7,67885.8,218.593,1215,173.925,44.668,67902.93,91896.01,1.652e-05,0.0,0.0,0
2026-03-30,2026-03-30 13:21:00+00:00,159.537,159.537,67920.0,380.65199999999993,-136.997,108.0975,False,False,2026-03-30 13:21:00,67910.2,67920.0,67884.9,67920.0,227.737,727,193.637,34.1,67905.06,91855.55,1.269e-05,0.0,0.0,0
2026-03-30,2026-03-30 13:33:00+00:00,224.92300000000003,224.92300000000003,67905.6,877.1199999999999,-136.997,108.0975,False,False,2026-03-30 13:33:00,67898.9,68008.5,67888.2,67905.6,587.513,4321,406.218,181.295,67948.97,91942.2,1.245e-05,0.076,0.0,0
2026-03-30,2026-03-30 13:42:00+00:00,-126.892,126.892,67711.3,877.1199999999999,-131.637,108.0975,False,False,2026-03-30 13:42:00,67783.7,67783.8,67711.3,67711.3,307.144,1838,90.126,217.018,67750.88,92041.7,9.97e-06,0.0,0.354,0
2026-03-30,2026-03-30 13:59:00+00:00,-120.40300000000002,120.40300000000002,67516.5,877.1199999999999,-191.96699999999998,108.0975,False,False,2026-03-30 13:59:00,67509.9,67558.0,67461.0,67516.5,431.731,2682,155.664,276.067,67509.22,92275.0,1.74e-06,0.0,0.018,0
2026-03-30,2026-03-30 14:22:00+00:00,-192.096,192.096,67354.3,877.1199999999999,-617.521,108.0975,False,False,2026-03-30 14:22:00,67445.8,67458.9,67345.1,67354.3,346.846,2188,77.375,269.471,67376.19,91996.75,-2.49e-06,0.0,0.0,0
2026-03-30,2026-03-30 14:30:00+00:00,-147.01300000000003,147.01300000000003,67279.1,877.1199999999999,-617.521,108.0975,False,False,2026-03-30 14:30:00,67314.9,67315.0,67200.0,67279.1,705.491,4508,279.239,426.252,67259.3,91850.6,-1.3e-06,0.0,0.84,0
2026-03-30,2026-03-30 14:39:00+00:00,116.31199999999998,116.31199999999998,67251.8,877.1199999999999,-617.521,108.0975,False,False,2026-03-30 14:39:00,67158.2,67259.2,67146.6,67251.8,252.148,2477,184.23,67.918,67215.72,91647.38,-2.59e-06,0.0,0.0,0
2026-03-30,2026-03-30 14:43:00+00:00,-135.43900000000002,135.43900000000002,67191.0,877.1199999999999,-617.521,108.0975,False,False,2026-03-30 14:43:00,67219.2,67219.2,67133.7,67191.0,316.993,2576,90.777,226.216,67175.95,91727.76,4.2e-07,0.0,0.0,0
2026-03-30,2026-03-30 14:54:00+00:00,392.13200000000006,392.13200000000006,67433.9,877.1199999999999,-617.521,108.0975,False,False,2026-03-30 14:54:00,67348.6,67456.0,67338.6,67433.9,639.71,3803,515.921,123.789,67395.35,91799.4,1.26e-06,0.582,0.0,0
2026-03-30,2026-03-30 14:55:00+00:00,155.12599999999998,155.12599999999998,67494.7,877.1199999999999,-617.521,108.0975,False,False,2026-03-30 14:55:00,67433.8,67540.0,67421.1,67494.7,488.726,4363,321.926,166.8,67486.62,91703.83,2.33e-06,0.689,0.0,0
2026-03-30,2026-03-30 14:57:00+00:00,299.206,299.206,67672.4,877.1199999999999,-617.521,108.0975,False,False,2026-03-30 14:57:00,67486.8,67693.3,67474.8,67672.4,732.064,4669,515.635,216.429,67610.83,91681.65,3.21e-06,1.943,0.0,0
2026-03-30,2026-03-30 14:59:00+00:00,-174.386,174.386,67771.0,877.1199999999999,-617.521,108.0975,False,False,2026-03-30 14:59:00,67788.4,67788.5,67721.0,67771.0,552.96,3937,189.287,363.673,67748.85,91641.16,5.21e-06,0.0,0.0,0
2026-03-30,2026-03-30 15:08:00+00:00,-140.767,140.767,67587.4,877.1199999999999,-617.521,108.0975,False,False,2026-03-30 15:08:00,67671.0,67681.4,67581.1,67587.4,321.395,2621,90.314,231.081,67619.51,91754.82,5.54e-06,0.0,0.012,0
2026-03-30,2026-03-30 15:16:00+00:00,-113.61699999999999,113.61699999999999,67453.5,877.1199999999999,-617.521,108.0975,False,False,2026-03-30 15:16:00,67528.0,67548.6,67424.1,67453.5,358.905,2606,122.644,236.261,67475.89,91710.29,3.78e-06,0.0,0.228,0
2026-03-30,2026-03-30 15:28:00+00:00,122.227,122.227,67547.5,877.1199999999999,-617.521,108.0975,False,False,2026-03-30 15:28:00,67483.9,67591.5,67471.7,67547.5,238.821,2346,180.524,58.297,67535.78,91785.27,2.12e-06,0.012,0.0,0
2026-03-30,2026-03-30 16:55:00+00:00,-115.89699999999999,115.89699999999999,67222.1,392.13200000000006,-617.521,108.0975,False,False,2026-03-30 16:55:00,67293.1,67293.2,67222.0,67222.1,161.137,1179,22.62,138.517,67261.96,92007.23,1.111e-05,0.0,0.055,0
2026-03-30,2026-03-30 16:57:00+00:00,112.41900000000001,112.41900000000001,67237.7,392.13200000000006,-617.521,108.0975,False,False,2026-03-30 16:57:00,67213.7,67244.8,67188.0,67237.7,393.229,1363,252.824,140.405,67212.5,91914.85,1.076e-05,0.0,0.0,0
2026-03-30,2026-03-30 17:16:00+00:00,-196.50300000000001,196.50300000000001,67127.3,392.13200000000006,-617.521,108.0975,False,False,2026-03-30 17:16:00,67159.2,67167.3,67080.7,67127.3,419.909,2001,111.703,308.206,67125.21,91893.34,8.29e-06,0.0,1.392,0
2026-03-30,2026-03-30 17:24:00+00:00,-582.2660000000001,582.2660000000001,66888.0,392.13200000000006,-622.641,108.0975,False,False,2026-03-30 17:24:00,66940.7,66946.4,66829.9,66888.0,1032.752,5149,225.243,807.509,66886.44,91214.08,9.52e-06,0.0,1.225,0
2026-03-30,2026-03-30 17:25:00+00:00,-177.04700000000003,177.04700000000003,66817.8,392.13200000000006,-622.641,108.0975,False,False,2026-03-30 17:25:00,66888.1,66888.1,66777.3,66817.8,449.143,3447,136.048,313.095,66815.86,91240.12,9.52e-06,0.0,0.747,0
2026-03-30,2026-03-30 17:28:00+00:00,-143.17199999999997,143.17199999999997,66694.8,392.13200000000006,-622.641,108.0975,False,False,2026-03-30 17:28:00,66728.8,66728.9,66617.3,66694.8,599.484,5157,228.156,371.328,66672.52,91211.93,8.65e-06,0.0,2.68,0
2026-03-30,2026-03-30 17:32:00+00:00,-146.83800000000002,146.83800000000002,66786.8,392.13200000000006,-622.641,108.0975,False,False,2026-03-30 17:32:00,66854.2,66863.5,66763.2,66786.8,377.56,2481,115.361,262.199,66811.9,91238.46,1.099e-05,0.022,0.0,0
2026-03-30,2026-03-30 17:33:00+00:00,198.30399999999997,198.30399999999997,66739.6,392.13200000000006,-622.641,108.0975,False,False,2026-03-30 17:33:00,66786.8,66831.6,66729.9,66739.6,509.256,3371,353.78,155.476,66774.11,91282.61,1.099e-05,0.0,0.0,0
2026-03-30,2026-03-30 17:54:00+00:00,-197.44899999999998,197.44899999999998,66824.2,299.206,-622.641,108.0975,False,False,2026-03-30 17:54:00,66853.1,66870.1,66800.0,66824.2,321.297,1892,61.924,259.373,66825.02,91394.17,1.602e-05,0.0,0.0,0
2026-03-30,2026-03-30 18:10:00+00:00,-172.13199999999998,172.13199999999998,66699.9,198.30399999999997,-622.641,108.0975,False,False,2026-03-30 18:10:00,66759.2,66759.2,66687.4,66699.9,263.934,1851,45.901,218.033,66720.13,91241.97,1.842e-05,0.0,0.015,0
2026-03-30,2026-03-30 18:24:00+00:00,-296.173,296.173,66629.0,313.968,-622.641,108.0975,False,False,2026-03-30 18:24:00,66743.5,66746.7,66565.2,66629.0,517.307,3508,110.567,406.74,66633.25,90926.93,2.058e-05,0.0,0.33,0
2026-03-30,2026-03-30 18:25:00+00:00,173.136,173.136,66650.0,313.968,-622.641,108.0975,False,False,2026-03-30 18:25:00,66628.9,66650.0,66628.9,66650.0,241.078,763,207.107,33.971,66648.07,90775.87,2.058e-05,0.0,0.0,0
2026-03-30,2026-03-30 18:26:00+00:00,276.707,276.707,66580.7,313.968,-622.641,108.0975,False,False,2026-03-30 18:26:00,66650.0,66688.8,66572.2,66580.7,632.749,2223,454.728,178.021,66642.2,90717.94,1.976e-05,0.0,0.192,0
2026-03-30,2026-03-30 18:51:00+00:00,-252.80300000000005,252.80300000000005,66494.4,644.458,-622.641,108.0975,False,False,2026-03-30 18:51:00,66609.3,66609.3,66456.4,66494.4,774.675,4582,260.936,513.739,66516.57,90402.34,1.905e-05,0.0,0.31,0
2026-03-30,2026-03-30 18:58:00+00:00,-153.875,153.875,66530.0,644.458,-622.641,108.0975,False,False,2026-03-30 18:58:00,66597.4,66597.5,66500.0,66530.0,255.777,1738,50.951,204.826,66533.97,90301.35,1.816e-05,0.0,0.034,0
2026-03-30,2026-03-30 19:00:00+00:00,118.01599999999999,118.01599999999999,66622.6,644.458,-622.641,108.0975,False,False,2026-03-30 19:00:00,66567.7,66633.3,66567.6,66622.6,223.6,1844,170.808,52.792,66609.21,90226.05,1.809e-05,0.0,0.0,0
2026-03-30,2026-03-30 19:08:00+00:00,-313.744,313.744,66366.7,644.458,-622.641,108.0975,False,False,2026-03-30 19:08:00,66469.9,66469.9,66335.1,66366.7,751.13,2814,218.693,532.437,66375.12,90250.57,1.808e-05,0.0,2.274,0
2026-03-30,2026-03-30 19:10:00+00:00,184.02999999999997,184.02999999999997,66412.1,644.458,-622.641,108.0975,False,False,2026-03-30 19:10:00,66361.0,66421.8,66343.9,66412.1,358.876,1528,271.453,87.423,66376.87,90172.02,1.764e-05,0.0,1.127,0
2026-03-30,2026-03-30 19:11:00+00:00,-191.836,191.836,66310.9,644.458,-622.641,108.0975,False,False,2026-03-30 19:11:00,66412.0,66412.1,66300.9,66310.9,405.352,2473,106.758,298.594,66333.15,90100.05,1.723e-05,0.0,0.918,0
2026-03-30,2026-03-30 19:48:00+00:00,116.03200000000001,116.03200000000001,66391.7,644.458,-622.641,108.0975,False,False,2026-03-30 19:48:00,66305.1,66396.7,66305.0,66391.7,152.996,1332,134.514,18.482,66347.22,90077.59,1.275e-05,0.0,0.0,0
2026-03-30,2026-03-30 19:56:00+00:00,195.509,195.509,66519.4,644.458,-622.641,108.0975,False,False,2026-03-30 19:56:00,66483.9,66531.7,66482.0,66519.4,277.881,1674,236.695,41.186,66509.65,89808.63,1.553e-05,0.011,0.0,0
2026-03-30,2026-03-30 20:00:00+00:00,189.18399999999997,189.18399999999997,66516.0,644.458,-622.641,108.0975,False,False,2026-03-30 20:00:00,66465.5,66556.7,66430.0,66516.0,477.448,2866,333.316,144.132,66506.78,89760.55,1.503e-05,0.0,0.0,0
2026-03-30,2026-03-30 21:17:00+00:00,176.227,176.227,66830.0,644.458,-313.744,108.0975,False,False,2026-03-30 21:17:00,66756.4,66844.2,66756.4,66830.0,262.773,1840,219.5,43.273,66806.25,89297.03,7.65e-06,0.388,0.0,0
2026-03-30,2026-03-30 21:19:00+00:00,-297.673,297.673,66787.8,644.458,-313.744,108.0975,False,False,2026-03-30 21:19:00,66815.1,66824.0,66765.9,66787.8,494.301,1509,98.314,395.987,66805.31,89127.74,7.9e-06,0.0,0.0,0
2026-03-30,2026-03-30 21:23:00+00:00,145.653,145.653,66938.9,644.458,-313.744,108.0975,False,False,2026-03-30 21:23:00,66870.1,66940.0,66850.0,66938.9,444.185,1549,294.919,149.266,66889.41,89075.24,8.15e-06,0.019,0.0,0
2026-03-30,2026-03-30 21:26:00+00:00,-311.315,311.315,66830.9,644.458,-313.744,108.0975,False,False,2026-03-30 21:26:00,66937.2,66937.3,66830.9,66830.9,381.521,1171,35.103,346.418,66897.3,89138.57,1.005e-05,0.0,0.0,0
2026-03-30,2026-03-30 23:02:00+00:00,-110.28299999999999,110.28299999999999,66610.0,461.63100000000003,-311.315,108.0975,False,False,2026-03-30 23:02:00,66689.3,66700.9,66609.9,66610.0,213.143,1486,51.43,161.713,66641.42,89131.27,6.47e-06,0.0,0.095,0
2026-03-30,2026-03-30 23:03:00+00:00,-192.25600000000003,192.25600000000003,66488.3,461.63100000000003,-311.315,108.0975,False,False,2026-03-30 23:03:00,66610.1,66611.8,66479.9,66488.3,473.708,3821,140.726,332.982,66531.56,89117.14,5.88e-06,0.0,3.839,0
2026-03-30,2026-03-30 23:05:00+00:00,225.43099999999998,225.43099999999998,66454.0,461.63100000000003,-311.315,108.0975,False,False,2026-03-30 23:05:00,66482.4,66490.0,66432.8,66454.0,413.449,1674,319.44,94.009,66465.34,89306.96,3.3e-06,0.0,0.0,0
2026-03-30,2026-03-30 23:06:00+00:00,-147.934,147.934,66385.1,461.63100000000003,-311.315,108.0975,False,False,2026-03-30 23:06:00,66453.9,66463.4,66385.0,66385.1,281.756,2203,66.911,214.845,66425.52,89538.61,3.3e-06,0.0,0.193,0
2026-03-30,2026-03-30 23:07:00+00:00,111.584,111.584,66432.0,461.63100000000003,-311.315,108.0975,False,False,2026-03-30 23:07:00,66385.0,66442.0,66377.1,66432.0,245.432,1409,178.508,66.924,66404.76,89641.02,2.16e-06,0.0,3.415,0
2026-03-30,2026-03-30 23:36:00+00:00,165.319,165.319,66713.0,461.63100000000003,-311.315,108.0975,False,False,2026-03-30 23:36:00,66713.9,66732.2,66702.4,66713.0,331.033,932,248.176,82.857,66711.71,89788.02,2.9e-06,0.0,0.003,0
